titulo,autor,paginas,genero,nota,leram,favoritos,ano_publicacao,genero_autor,pais_origem,sigla_pais,nota_renata,inicio_leitura,fim_leitura,dias_leitura,ano_fim_leitura,fic_nfic,M1F0,BR,gostei,fav_ind
Fahrenheit 451,Ray Bradbury,216,Distopia / Ficção científica / Literatura Estrangeira ,4.1,69272,6120,1953,M,Estados Unidos,USA,3.5,30/06/22,14/07/22,14.0,2022,1.0,1.0,0.0,1.0,0.08834738422450629
Minha querida Sputnik,Haruki Murakami,232,Ficção / Literatura Estrangeira / Romance ,4.0,4107,387,1999,M,Japão,JPN,3.5,16/06/22,28/06/22,12.0,2022,1.0,1.0,0.0,1.0,0.09422936449963477
O Morro dos Ventos Uivantes,Emily Brontë,362,Ficção / Romance / Literatura Estrangeira ,4.0,157040,14411,1847,F,Reino Unido,GBR,4.0,18/05/22,07/06/22,20.0,2022,1.0,0.0,0.0,1.0,0.09176642893530311
A Viagem de Théo,Catherine Clément,625,Literatura Estrangeira / Ficção / Religião e Espiritualidade / Romance ,4.1,3056,311,1997,F,França,FRA,4.0,08/03/22,23/05/22,76.0,2022,1.0,0.0,0.0,1.0,0.10176701570680628
Diga aos Lobos Que Estou em Casa,Carol Rifka Brunt,464,Literatura Estrangeira ,4.2,1914,355,2012,F,Estados Unidos,USA,3.5,26/03/22,13/05/22,48.0,2022,0.0,0.0,0.0,1.0,0.18547544409613376
Anne de Ingleside,L. M. Montgomery,336,Infantojuvenil / Literatura Estrangeira / Romance ,3.9,13024,332,1939,F,Canadá,CAN,3.0,02/04/22,22/04/22,20.0,2022,1.0,0.0,0.0,0.0,0.02549140049140049
Harry Potter e a Câmara Secreta,J.K. Rowling,252,Aventura / Fantasia / Ficção / Literatura Estrangeira / Infantojuvenil ,4.4,604734,38165,1998,F,Reino Unido,GBR,4.0,,18/04/22,,2022,1.0,0.0,0.0,1.0,0.06311039233778819
O Labirinto do Fauno,Guillermo del Toro,320,Fantasia / Ficção / Literatura Estrangeira ,4.4,14271,2072,2006,M,México,MEX,4.0,11/04/22,18/04/22,7.0,2022,1.0,1.0,0.0,1.0,0.14518954523158853
Harry Potter and the Philosopher's Stone,J.K. Rowling,332,Fantasia / Infantojuvenil ,4.7,6965,1143,1997,F,Reino Unido,GBR,4.5,17/03/22,07/04/22,21.0,2022,1.0,0.0,0.0,1.0,0.16410624551328068
O Deus que destrói sonhos,Rodrigo Bibo,160,Religião e Espiritualidade ,4.5,5332,412,2019,M,Brasil,BRA,2.0,26/03/22,31/03/22,5.0,2022,0.0,1.0,1.0,0.0,0.07726931732933233
A Vila,Ana Carolina Kherlakian,176,Esoterismo / Filosofia / Literatura Estrangeira / Psicologia / Religião e Espiritualidade / Romance / Sociologia ,3.9,192,15,2019,F,Brasil,BRA,3.0,08/03/22,24/03/22,16.0,2022,1.0,0.0,1.0,0.0,0.078125
Crime e Castigo,Fiódor Dostoiévski,572,Literatura Estrangeira / Ficção / Romance ,4.6,43898,6278,1866,M,Rússia,RUS,4.0,29/01/22,21/03/22,51.0,2022,1.0,1.0,0.0,1.0,0.1430133491275229
Antropoceno,John Green,384,Ensaios / Literatura Estrangeira / Não-ficção ,4.1,1201,98,2021,M,Estados Unidos,USA,5.0,19/02/22,16/03/22,25.0,2022,0.0,1.0,0.0,1.0,0.08159866777685262
