titulo,autor,paginas,genero,nota,leram,favoritos,ano_publicacao,genero_autor,pais_origem,sigla_pais
Flores para Algernon,Daniel Keyes,288,Literatura Estrangeira / Romance / Ficção científica ,4.5,53899,10865,1966,M,Estados Unidos,USA
Klara e o sol,Kazuo Ishiguro,336,Ficção / Literatura Estrangeira / Romance ,3.9,757,50,2021,M,Reino Unido,GBR
Rilla de Ingleside,L. M. Montgomery,320,Aventura / Infantojuvenil / Literatura Estrangeira / Romance ,4.3,4482,486,1921,F,Canadá,CAN
Persépolis,Marjane Satrapi,352,"Biografia, Autobiografia, Memórias / HQ, comics, mangá ",4.6,26364,4264,2000,F,Irã,IRN
Harry Potter e o Cálice de Fogo,J.K. Rowling,584,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.6,511086,39610,2000,F,Reino Unido,GBR
O Profeta,Khalil Gibran,96,Ensaios / Literatura Estrangeira / Religião e Espiritualidade / Filosofia / Romance ,4.2,5678,602,1923,M,Líbano,LBN
Cartas de um Diabo a seu Aprendiz,C. S. Lewis,208,Ficção / Filosofia / Literatura Estrangeira / Religião e Espiritualidade / Romance ,4.4,13973,1452,1942,M,Irlanda,IRL
E Não Sobrou Nenhum,Agatha Christie,400,Romance policial / Ficção ,4.5,79200,9912,1939,F,Reino Unido,GBR
O Caderninho de Desafios de Dash & Lily,David Levithan,256,Jovem adulto / Romance ,3.8,1947,102,2016,M,Estados Unidos,USA
Fernão Capelo Gaivota,Richard Bach,80,Contos / Literatura Estrangeira ,3.9,16398,1029,1970,M,Estados Unidos,USA
As coisas que você só vê quando desacelera,Haemin Sunim,256,Literatura Estrangeira / Religião e Espiritualidade / Autoajuda / Não-ficção ,4.1,13630,868,2012,M,Coreia do Sul,KOR
Um Conto de Natal,Charles Dickens,121,Fantasia / Ficção / Literatura Estrangeira ,4.2,15058,1271,1843,M,Reino Unido,GBR
1984,George Orwell,336,Distopia / Ficção científica ,4.5,158972,17182,1949,M,Reino Unido,GBR
